id_venda,data,produto,categoria,regiao,vendedor,preco_unitario,quantidade,receita,custo,lucro
1,2021-03-20,Notebook,Computadores,Centro-Oeste,Bruno,6163.2,5,30816.0,16569.61,14246.39
2,2022-11-22,SSD,Armazenamento,Sul,Fernanda,2759.35,1,2759.35,1533.87,1225.48
3,2024-05-08,Webcam,Vídeo,Nordeste,Carlos,63.28,7,442.96,341.41,101.55
4,2021-03-31,SSD,Armazenamento,Norte,Ana,2557.9,8,20463.2,10962.4,9500.8
5,2023-06-01,Mouse,Periféricos,Nordeste,Carlos,6331.07,1,6331.07,3812.13,2518.94
6,2023-09-17,HD Externo,Armazenamento,Centro-Oeste,Helena,6710.81,5,33554.05,20810.62,12743.43
7,2024-01-08,Monitor,Monitores,Sul,Fernanda,149.76,9,1347.84,878.84,469.0
8,2024-08-14,HD Externo,Armazenamento,Sul,Gabriel,3027.45,1,3027.45,2411.57,615.88
9,2024-02-10,Teclado,Periféricos,Norte,Helena,5281.69,3,15845.07,9779.82,6065.25
10,2024-04-15,SSD,Armazenamento,Norte,Helena,3131.86,6,18791.16,9502.84,9288.32
11,2023-10-24,Mouse,Periféricos,Centro-Oeste,Ana,7174.39,4,28697.56,18423.88,10273.68
12,2021-12-30,Notebook,Computadores,Centro-Oeste,Helena,7714.27,4,30857.08,21305.57,9551.51
13,2021-10-03,Teclado,Periféricos,Sul,Helena,3059.79,8,24478.32,12617.24,11861.08
14,2023-06-09,HD Externo,Armazenamento,Nordeste,Ana,2088.08,6,12528.48,9267.8,3260.68
15,2021-07-01,SSD,Armazenamento,Norte,Bruno,4959.8,9,44638.2,27866.36,16771.84
16,2024-11-22,Mouse,Periféricos,Sudeste,Ana,6376.09,7,44632.63,23464.24,21168.39
17,2024-02-25,SSD,Armazenamento,Norte,Fernanda,2137.19,8,17097.52,8746.42,8351.1
18,2023-05-09,Webcam,Vídeo,Sudeste,Fernanda,239.15,3,717.45,580.67,136.78
19,2024-07-09,Mouse,Periféricos,Nordeste,Fernanda,5366.65,2,10733.3,8464.98,2268.32
20,2022-08-20,Notebook,Computadores,Sul,Gabriel,4323.41,3,12970.23,10633.03,2337.2
21,2024-07-13,SSD,Armazenamento,Centro-Oeste,Carlos,4302.62,6,25815.72,17580.15,8235.57
22,2021-02-12,Teclado,Periféricos,Sul,Gabriel,3485.85,3,10457.55,6893.19,3564.36
23,2022-10-28,Webcam,Vídeo,Sudeste,Helena,2465.26,1,2465.26,1369.46,1095.8
24,2024-03-13,Teclado,Periféricos,Centro-Oeste,Bruno,4386.39,6,26318.34,15230.86,11087.48
25,2022-10-22,Webcam,Vídeo,Norte,Eduardo,7442.04,4,29768.16,17001.94,12766.22
26,2023-11-01,Headset,Áudio,Sudeste,Ana,7509.19,2,15018.38,12535.01,2483.37
27,2022-10-12,Monitor,Monitores,Norte,Daniela,2182.59,4,8730.36,4625.21,4105.15
28,2023-09-19,Mouse,Periféricos,Centro-Oeste,Carlos,7438.53,9,66946.77,36647.07,30299.7
29,2022-11-29,HD Externo,Armazenamento,Sudeste,Ana,2091.97,10,20919.7,16809.04,4110.66
30,2024-05-16,SSD,Armazenamento,Nordeste,Carlos,4897.52,1,4897.52,3988.51,909.01
31,2023-01-12,HD Externo,Armazenamento,Centro-Oeste,Bruno,5545.59,6,33273.54,26671.29,6602.25
32,2022-01-30,SSD,Armazenamento,Centro-Oeste,Fernanda,1771.92,8,14175.36,8789.6,5385.76
33,2021-12-25,Teclado,Periféricos,Sudeste,Ana,6740.92,7,47186.44,31858.69,15327.75
34,2023-10-27,SSD,Armazenamento,Centro-Oeste,Bruno,7377.38,2,14754.76,12067.54,2687.22
35,2023-08-12,Webcam,Vídeo,Norte,Gabriel,460.25,7,3221.75,1947.48,1274.27
36,2022-12-06,Webcam,Vídeo,Nordeste,Helena,2164.02,8,17312.16,12066.03,5246.13
37,2021-02-10,Monitor,Monitores,Sudeste,Eduardo,2730.57,1,2730.57,1539.42,1191.15
38,2024-01-15,SSD,Armazenamento,Sudeste,Carlos,3844.71,1,3844.71,2555.22,1289.49
39,2021-03-07,Teclado,Periféricos,Centro-Oeste,Fernanda,7137.68,4,28550.72,20247.93,8302.79
40,2023-03-03,HD Externo,Armazenamento,Sul,Eduardo,5660.7,1,5660.7,3465.58,2195.12
41,2021-03-30,Monitor,Monitores,Norte,Eduardo,2316.48,7,16215.36,10137.34,6078.02
42,2023-12-24,Notebook,Computadores,Sudeste,Carlos,1626.01,5,8130.05,5558.27,2571.78
43,2023-12-17,Monitor,Monitores,Centro-Oeste,Helena,6932.1,8,55456.8,32078.86,23377.94
44,2022-02-04,Mouse,Periféricos,Norte,Helena,4922.25,9,44300.25,26480.69,17819.56
45,2024-03-13,Mouse,Periféricos,Sudeste,Gabriel,6392.26,8,51138.08,27554.82,23583.26
46,2022-03-10,SSD,Armazenamento,Sudeste,Fernanda,1273.09,3,3819.27,2169.58,1649.69
47,2021-02-22,Monitor,Monitores,Norte,Daniela,7284.69,2,14569.38,9343.02,5226.36
48,2022-05-20,Notebook,Computadores,Sudeste,Fernanda,4398.07,1,4398.07,3622.41,775.66
49,2022-10-28,SSD,Armazenamento,Centro-Oeste,Carlos,2468.27,5,12341.35,9068.82,3272.53
50,2023-04-29,Monitor,Monitores,Sul,Ana,6001.88,3,18005.64,11938.88,6066.76
51,2023-10-15,Monitor,Monitores,Sul,Gabriel,3155.85,4,12623.4,8035.18,4588.22
52,2023-08-01,Notebook,Computadores,Centro-Oeste,Carlos,3831.38,2,7662.76,4169.25,3493.51
53,2022-03-13,Webcam,Vídeo,Sul,Ana,3588.0,6,21528.0,12939.72,8588.28
54,2022-10-28,SSD,Armazenamento,Norte,Bruno,4092.73,2,8185.46,5791.12,2394.34
55,2021-10-15,Mouse,Periféricos,Nordeste,Gabriel,1479.38,3,4438.14,3580.32,857.82
56,2023-07-27,Notebook,Computadores,Nordeste,Bruno,2681.65,2,5363.3,2956.48,2406.82
57,2024-11-25,SSD,Armazenamento,Nordeste,Gabriel,524.02,3,1572.06,848.97,723.09
58,2022-04-27,Mouse,Periféricos,Nordeste,Ana,2903.52,4,11614.08,9127.71,2486.37
59,2024-10-02,SSD,Armazenamento,Centro-Oeste,Carlos,760.75,1,760.75,458.04,302.71
60,2021-08-14,SSD,Armazenamento,Centro-Oeste,Daniela,6526.48,1,6526.48,4519.97,2006.51
61,2024-05-23,Monitor,Monitores,Centro-Oeste,Daniela,1044.66,1,1044.66,809.35,235.31
62,2021-03-10,Headset,Áudio,Sudeste,Fernanda,2996.36,3,8989.08,7157.79,1831.29
63,2023-11-04,Headset,Áudio,Centro-Oeste,Fernanda,5537.34,1,5537.34,4320.04,1217.3
64,2023-06-30,Notebook,Computadores,Centro-Oeste,Bruno,3059.25,3,9177.75,6548.35,2629.4
65,2025-01-19,Mouse,Periféricos,Sul,Daniela,3222.62,2,6445.24,3655.02,2790.22
66,2021-12-01,Webcam,Vídeo,Sudeste,Helena,2302.23,9,20720.07,17489.49,3230.58
67,2023-01-19,SSD,Armazenamento,Norte,Eduardo,5843.33,3,17529.99,13551.29,3978.7
68,2021-09-06,Teclado,Periféricos,Norte,Carlos,7999.31,10,79993.1,42835.36,37157.74
69,2023-04-22,Mouse,Periféricos,Centro-Oeste,Ana,7321.6,6,43929.6,23965.0,19964.6
70,2024-09-26,Mouse,Periféricos,Sul,Eduardo,4179.39,9,37614.51,30183.0,7431.51
71,2022-04-27,Mouse,Periféricos,Centro-Oeste,Eduardo,6404.02,5,32020.1,20935.63,11084.47
72,2023-01-05,Notebook,Computadores,Norte,Bruno,4973.58,8,39788.64,31554.77,8233.87
73,2021-01-09,Teclado,Periféricos,Nordeste,Gabriel,52.77,4,211.08,123.27,87.81
74,2023-03-10,SSD,Armazenamento,Nordeste,Bruno,1438.48,5,7192.4,4656.76,2535.64
75,2024-03-10,Headset,Áudio,Norte,Ana,1020.03,10,10200.3,6505.66,3694.64
76,2024-09-17,Notebook,Computadores,Sul,Daniela,7006.47,5,35032.35,24841.66,10190.69
77,2023-10-16,Webcam,Vídeo,Norte,Carlos,2499.51,4,9998.04,6493.14,3504.9
78,2021-04-07,Notebook,Computadores,Sudeste,Bruno,6935.51,3,20806.53,11642.38,9164.15
79,2025-01-11,Monitor,Monitores,Norte,Helena,4647.41,4,18589.64,11902.05,6687.59
80,2021-03-29,SSD,Armazenamento,Sul,Fernanda,643.12,4,2572.48,1366.99,1205.49
81,2023-12-12,Headset,Áudio,Norte,Daniela,5417.9,3,16253.7,12992.54,3261.16
82,2022-11-15,Mouse,Periféricos,Norte,Gabriel,6387.52,8,51100.16,36554.13,14546.03
83,2022-03-19,Teclado,Periféricos,Sudeste,Gabriel,5281.71,2,10563.42,5604.51,4958.91
84,2022-08-04,Teclado,Periféricos,Nordeste,Eduardo,2950.09,7,20650.63,15426.58,5224.05
85,2024-05-21,SSD,Armazenamento,Nordeste,Bruno,7931.05,1,7931.05,6436.83,1494.22
86,2024-02-03,Teclado,Periféricos,Sul,Bruno,3659.67,4,14638.68,10531.39,4107.29
87,2022-08-06,HD Externo,Armazenamento,Norte,Fernanda,2405.26,8,19242.08,12136.29,7105.79
88,2023-10-03,Webcam,Vídeo,Nordeste,Carlos,365.43,1,365.43,257.66,107.77
89,2024-03-21,Webcam,Vídeo,Sudeste,Carlos,7239.01,10,72390.1,38040.5,34349.6
90,2022-04-20,SSD,Armazenamento,Nordeste,Bruno,6120.13,8,48961.04,40471.11,8489.93
91,2024-08-21,HD Externo,Armazenamento,Centro-Oeste,Fernanda,7505.33,7,52537.31,40711.05,11826.26
92,2021-04-19,Headset,Áudio,Centro-Oeste,Helena,1452.82,2,2905.64,2193.99,711.65
